region_id,region_name,region_type,state_name,year,zhvi,as_of_month,zhvi_yoy_pct,zhvi_3yr_pct,zhvi_5yr_pct,zhvi_volatility_5yr,national_zhvi,annual_earnings_25_34,annual_earnings_20_24,ownership_rate_25_29_pct,ownership_rate_30_34_pct,mortgage_rate_30yr_pct,annual_earnings_25_34_real2025,zhvi_vs_national,zhvi_pctile_in_year,price_to_income_25_34,years_to_down_payment_25_34,monthly_payment_usd,payment_to_income_pct_25_34,affordability_quartile
394297,"Aberdeen, SD",msa,SD,2009,130297.0,12,,,,,176011.0,35269.0,24154.0,37.69,52.48,5.037,52922.0,0.74,48.0,3.69,4.9,562.0,19.1,Q2
394297,"Aberdeen, SD",msa,SD,2010,132591.0,12,1.76,,,,170446.0,35477.0,23634.0,36.8,51.6,4.69,52377.0,0.778,53.6,3.74,5.0,549.0,18.6,Q3
394297,"Aberdeen, SD",msa,SD,2011,133585.0,12,0.75,,,,162085.0,35971.0,23725.0,34.58,49.79,4.448,51490.0,0.824,58.1,3.71,5.0,538.0,17.9,Q3
394297,"Aberdeen, SD",msa,SD,2012,145650.0,12,9.03,11.78,,4.52,167210.0,36738.0,24089.0,34.26,47.85,3.657,51520.0,0.871,64.8,3.96,5.3,533.0,17.4,Q3
394297,"Aberdeen, SD",msa,SD,2013,148696.0,12,2.09,12.15,,3.79,180738.0,36829.0,24505.0,34.1,48.1,3.976,50901.0,0.823,62.0,4.04,5.4,566.0,18.4,Q3
394297,"Aberdeen, SD",msa,SD,2014,147426.0,12,-0.85,10.36,13.15,3.8,189995.0,37713.0,25480.0,32.74,47.09,4.169,51294.0,0.776,57.3,3.91,5.2,575.0,18.3,Q3
394297,"Aberdeen, SD",msa,SD,2015,147122.0,12,-0.21,1.01,10.96,4.0,201977.0,38207.0,26039.0,31.7,45.93,3.851,51903.0,0.728,54.2,3.85,5.1,552.0,17.3,Q3
394297,"Aberdeen, SD",msa,SD,2016,151984.0,12,3.3,2.21,13.77,3.93,213107.0,39078.0,26741.0,30.87,45.44,3.654,52422.0,0.713,54.9,3.89,5.2,556.0,17.1,Q3
394297,"Aberdeen, SD",msa,SD,2017,157298.0,12,3.5,6.7,8.0,2.0,226779.0,40222.0,28093.0,32.06,45.71,3.99,52831.0,0.694,53.4,3.91,5.2,600.0,17.9,Q3
394297,"Aberdeen, SD",msa,SD,2018,160898.0,12,2.29,9.36,8.21,2.02,240008.0,41951.0,29770.0,32.52,47.68,4.545,53790.0,0.67,50.6,3.84,5.1,656.0,18.8,Q3
394297,"Aberdeen, SD",msa,SD,2019,171208.0,12,6.41,12.65,16.13,2.39,251639.0,44018.0,31109.0,32.85,47.96,3.936,55435.0,0.68,51.3,3.89,5.2,649.0,17.7,Q3
