year,ownership_rate_25_29_pct,ownership_rate_30_34_pct,ownership_rate_35_39_pct,ownership_rate_40_44_pct,ownership_rate_lt25_pct,median_weekly_earnings_20_24,median_weekly_earnings_25_34,mortgage_rate_30yr_pct,homeownership_rate_us_pct,median_sales_price_usd,case_shiller_home_price_index,cpi_all_urban,housing_starts_thousands,annual_earnings_20_24,annual_earnings_25_34,annual_earnings_20_24_real2025,annual_earnings_25_34_real2025,national_zhvi,price_to_income_25_34,years_to_down_payment_25_34,monthly_payment_usd,payment_to_income_pct_25_34
2000,38.06,54.63,64.97,70.61,21.7,382.25,549.25,8.053,67.375,167550.0,104.777,172.192,1573.333,19877.0,28561.0,37166.0,53403.0,132244.0,4.63,6.2,780.0,32.8
2001,38.94,54.84,65.54,70.75,22.54,394.75,576.0,6.968,67.825,173100.0,113.186,177.042,1601.167,20527.0,29952.0,37330.0,54470.0,141717.0,4.73,6.3,752.0,30.1
2002,38.8,54.86,65.17,71.74,22.9,399.5,590.5,6.537,67.925,186025.0,122.288,179.867,1710.25,20774.0,30706.0,37185.0,54964.0,151884.0,4.95,6.6,771.0,30.1
2003,39.84,56.51,65.12,71.3,22.81,402.0,594.25,5.827,68.25,192125.0,133.741,184.0,1853.75,20904.0,30901.0,36578.0,54070.0,163949.0,5.31,7.1,772.0,30.0
2004,40.21,57.44,66.15,71.93,25.18,405.75,603.75,5.839,69.0,218150.0,150.464,188.908,1949.5,21099.0,31395.0,35960.0,53508.0,181694.0,5.79,7.7,856.0,32.7
2005,40.92,56.81,66.6,71.68,25.73,410.5,610.0,5.867,68.875,236550.0,171.781,195.267,2072.917,21346.0,31720.0,35196.0,52301.0,203070.0,6.4,8.5,960.0,36.3
2006,41.76,55.94,66.42,71.18,24.76,424.5,622.0,6.413,68.775,243750.0,183.481,201.558,1811.917,22074.0,32344.0,35260.0,51665.0,213335.0,6.6,8.8,1069.0,39.7
2007,40.56,54.44,65.04,70.42,24.78,450.25,643.0,6.337,68.15,244950.0,179.941,207.344,1341.833,23413.0,33436.0,36356.0,51919.0,208660.0,6.24,8.3,1037.0,37.2
2008,40.04,53.49,64.56,69.39,23.63,467.25,665.25,6.027,67.825,229550.0,164.058,215.254,900.0,24297.0,34593.0,36342.0,51742.0,189195.0,5.47,7.3,910.0,31.6
2009,37.69,52.48,63.45,68.73,23.32,464.5,678.25,5.037,67.375,215650.0,148.551,214.565,554.0,24154.0,35269.0,36244.0,52922.0,176011.0,4.99,6.7,759.0,25.8
