year,age_bracket,total_households_thousands,owner_households_thousands,ownership_rate_pct
1982,25-29,9308.0,3593.6269875376,38.61
1982,30-34,9647.0,5505.54721675132,57.07
1982,35-39,8385.0,5665.74895646989,67.57
1982,40-44,6913.0,5045.10342832345,72.98
1982,<25,5905.0,1141.6616426757,19.33
1983,25-29,9337.0,3579.0,38.33
1983,30-34,9720.0,5387.0,55.42
1983,35-39,8722.0,5797.0,66.46
1983,40-44,7158.0,5211.0,72.8
1983,<25,5487.0,1031.0,18.79
1984,25-29,9495.0,3668.55650342285,38.64
1984,30-34,10024.0,5488.47416201117,54.75
1984,35-39,9156.0,6053.53593272171,66.12
1984,40-44,7553.0,5462.54719978816,72.32
1984,<25,5536.0,992.751625722543,17.93
1985,25-29,9543.0,3594.01571832757,37.66
1985,30-34,10288.0,5553.699844479,53.98
1985,35-39,9615.0,6291.80031201248,65.44
1985,40-44,7919.0,5651.26202803384,71.36
1985,<25,5483.0,941.740105781506,17.18
1986,25-29,9670.0,3549.03257497415,36.7
1986,30-34,10477.0,5618.96344373389,53.63
1986,35-39,10050.0,6509.70149253731,64.77
1986,40-44,8040.0,5668.33805970149,70.5
1986,<25,5351.0,922.09138478789,17.23
1987,25-29,9540.0,3476.45754716981,36.44
1987,30-34,10744.0,5750.41548771407,53.52
1987,35-39,10159.0,6512.963086918,64.11
1987,40-44,8643.0,6118.07046164526,70.79
1987,<25,5201.0,829.70313401269,15.95
1988,25-29,9539.0,3426.73812768634,35.92
1988,30-34,10893.0,5798.84990360782,53.23
1988,35-39,10322.0,6568.35729509785,63.63
1988,40-44,8959.0,6336.35896863489,70.73
1988,<25,5147.0,812.832718088207,15.79
1989,25-29,9747.0,3440.0,35.29
1989,30-34,11308.0,6016.0,53.2
1989,35-39,10622.0,6733.0,63.39
1989,40-44,9535.0,6696.0,70.23
1989,<25,5381.0,892.0,16.58
1990,25-29,9508.0,3344.0,35.17
1990,30-34,11213.0,5805.0,51.77
1990,35-39,10914.0,6880.0,63.04
1990,40-44,9893.0,6909.0,69.84
1990,<25,5143.0,806.0,15.67
1991,25-29,9152.0,3093.0,33.8
1991,30-34,11318.0,5796.0,51.21
1991,35-39,11071.0,6891.0,62.24
1991,40-44,10419.0,7246.0,69.55
1991,<25,5075.0,775.0,15.27
1992,25-29,8926.0,3003.0,33.64
1992,30-34,11378.0,5745.0,50.49
1992,35-39,11351.0,6974.0,61.44
1992,40-44,10484.0,7249.0,69.14
1992,<25,4913.0,732.0,14.9
1993,25-29,8848.0,2976.0,33.63
1993,30-34,11406.0,5791.0,50.77
1993,35-39,11656.0,7198.0,61.75
1993,40-44,10801.0,7413.0,68.63
1993,<25,5342.0,792.0,14.83
1994,25-29,8628.0,2941.0,34.09
1994,30-34,11284.0,5705.0,50.56
1994,35-39,11906.0,7283.0,61.17
1994,40-44,10931.0,7450.0,68.15
1994,<25,5408.0,807.0,14.92
1995,25-29,8662.0,2981.0,34.41
1995,30-34,11206.0,5947.0,53.07
1995,35-39,11993.0,7442.0,62.05
1995,40-44,11151.0,7651.0,68.61
1995,<25,5502.0,875.0,15.9
1996,25-29,8669.0,3010.0,34.72
1996,30-34,10936.0,5798.0,53.02
1996,35-39,12083.0,7498.0,62.05
1996,40-44,11644.0,8036.0,69.01
1996,<25,5467.0,985.0,18.02
1997,25-29,8755.0,3061.0,34.96
1997,30-34,10622.0,5590.0,52.63
1997,35-39,12166.0,7613.0,62.58
1997,40-44,11869.0,8267.0,69.65
1997,<25,5517.0,979.0,17.75
1998,25-29,8666.0,3134.0,36.16
1998,30-34,10494.0,5623.0,53.58
1998,35-39,12026.0,7655.0,63.65
1998,40-44,12141.0,8504.0,70.04
1998,<25,5750.0,1045.0,18.17
1999,25-29,8661.0,3160.0,36.49
1999,30-34,10400.0,5594.0,53.79
1999,35-39,11950.0,7690.0,64.35
1999,40-44,12206.0,8538.0,69.95
1999,<25,6000.0,1195.0,19.92
2000,25-29,8482.0,3228.0,38.06
2000,30-34,10219.0,5583.0,54.63
2000,35-39,11834.0,7689.0,64.97
2000,40-44,12377.0,8740.0,70.61
2000,<25,6221.0,1350.0,21.7
2001,25-29,8358.0,3255.0,38.94
2001,30-34,10301.0,5649.0,54.84
2001,35-39,11587.0,7594.0,65.54
2001,40-44,12504.0,8847.0,70.75
2001,<25,6460.0,1456.0,22.54
2002,25-29,8231.0,3194.0,38.8
2002,30-34,10176.0,5583.0,54.86
2002,35-39,10924.0,7119.0,65.17
2002,40-44,11839.0,8493.0,71.74
2002,<25,6372.0,1459.0,22.9
2003,25-29,8213.0,3272.0,39.84
2003,30-34,10084.0,5698.0,56.51
2003,35-39,10777.0,7018.0,65.12
2003,40-44,11748.0,8376.0,71.3
2003,<25,6441.0,1469.0,22.81
2004,25-29,8491.0,3414.0,40.21
2004,30-34,9865.0,5666.0,57.44
2004,35-39,10438.0,6905.0,66.15
2004,40-44,11768.0,8465.0,71.93
2004,<25,6538.0,1646.0,25.18
2005,25-29,8790.0,3597.0,40.92
2005,30-34,9583.0,5444.0,56.81
2005,35-39,10526.0,7010.0,66.6
2005,40-44,11722.0,8402.0,71.68
2005,<25,6536.0,1682.0,25.73
2006,25-29,8975.0,3748.0,41.76
2006,30-34,9423.0,5271.0,55.94
2006,35-39,10520.0,6987.0,66.42
2006,40-44,11484.0,8174.0,71.18
2006,<25,6578.0,1629.0,24.76
2007,25-29,9170.0,3719.0,40.56
2007,30-34,9349.0,5090.0,54.44
2007,35-39,10499.0,6829.0,65.04
2007,40-44,11125.0,7834.0,70.42
2007,<25,6494.0,1609.0,24.78
2008,25-29,9094.36,3640.95,40.04
2008,30-34,9343.37,4997.72,53.49
2008,35-39,10549.9,6810.84,64.56
2008,40-44,10973.6,7614.21,69.39
2008,<25,6271.91,1481.74,23.63
2009,25-29,9076.0,3421.0,37.69
2009,30-34,9331.0,4897.0,52.48
2009,35-39,10185.0,6462.0,63.45
2009,40-44,10705.0,7358.0,68.73
2009,<25,6106.0,1424.0,23.32
2010,25-29,9040.5,3326.6,36.8
2010,30-34,9477.0,4889.7,51.6
2010,35-39,9794.0,6065.1,61.93
2010,40-44,10525.1,7144.1,67.88
2010,<25,6059.7,1384.6,22.85
2011,25-29,9062.0,3134.0,34.58
2011,30-34,9957.0,4958.0,49.79
2011,35-39,9667.0,5777.0,59.76
2011,40-44,10515.0,7031.0,66.87
2011,<25,6079.0,1373.0,22.59
2012,25-29,8778.02,3007.71,34.26
2012,30-34,9968.93,4770.61,47.85
2012,35-39,9565.16,5444.74,56.92
2012,40-44,10669.0,6986.6,65.49
2012,<25,6072.61,1318.18,21.71
2013,25-29,8729.0,2977.0,34.1
2013,30-34,9963.0,4792.0,48.1
2013,35-39,9502.0,5302.0,55.8
2013,40-44,10351.0,6729.0,65.01
2013,<25,6126.0,1361.0,22.22
2014,25-29,8812.0,2885.0,32.74
2014,30-34,10044.0,4730.0,47.09
2014,35-39,9659.0,5410.0,56.01
2014,40-44,10121.0,6399.0,63.22
2014,<25,6111.0,1329.0,21.75
2015,25-29,9008.25,2855.55,31.7
2015,30-34,10089.9,4634.21,45.93
2015,35-39,9822.35,5429.07,55.27
2015,40-44,10085.7,6210.49,61.58
2015,<25,6122.1,1335.03,21.81
2016,25-29,9076.0,2802.0,30.87
2016,30-34,10136.0,4606.0,45.44
2016,35-39,10081.0,5574.0,55.29
2016,40-44,9861.0,6109.0,61.95
2016,<25,6157.0,1348.0,21.89
2017,25-29,9260.0,2969.0,32.06
2017,30-34,10139.0,4635.0,45.71
2017,35-39,10335.0,5827.0,56.38
2017,40-44,9716.0,6007.0,61.83
2017,<25,5932.0,1338.0,22.56
2018,25-29,9538.0,3102.0,32.52
2018,30-34,10240.0,4882.0,47.68
2018,35-39,10582.0,6091.0,57.56
2018,40-44,9675.0,6082.0,62.86
2018,<25,6028.0,1370.0,22.73
2019,25-29,9580.0,3147.0,32.85
2019,30-34,10486.0,5029.0,47.96
2019,35-39,10604.0,6065.0,57.2
2019,40-44,9985.0,6316.0,63.25
2019,<25,5976.0,1387.0,23.21
2020,25-29,9453.0,3334.0,35.27
2020,30-34,10771.0,5291.0,49.12
2020,35-39,11055.0,6636.0,60.03
2020,40-44,10466.0,6858.0,65.53
2020,<25,5285.0,1359.0,25.71
2021,25-29,9322.0,3226.0,34.61
2021,30-34,10992.0,5323.0,48.43
2021,35-39,10978.0,6426.0,58.54
2021,40-44,10688.0,6901.0,64.57
2021,<25,5735.0,1393.0,24.29
2022,25-29,9195.0,3270.0,35.56
2022,30-34,11283.0,5509.0,48.83
2022,35-39,11188.0,6629.0,59.25
2022,40-44,11066.0,7216.0,65.21
2022,<25,5893.0,1498.0,25.42
2023,25-29,9264.0,3262.0,35.21
2023,30-34,11389.0,5621.0,49.35
2023,35-39,11341.0,6711.0,59.17
2023,40-44,11212.0,7418.0,66.16
2023,<25,6146.0,1452.0,23.63
2024,25-29,9282.0,3109.0,33.49
2024,30-34,11447.0,5423.0,47.37
2024,35-39,11746.0,6800.0,57.89
2024,40-44,11413.0,7514.0,65.84
2024,<25,5933.0,1363.0,22.97
2025,25-29,9322.0,3104.0,33.3
2025,30-34,11449.0,5336.0,46.61
2025,35-39,11905.0,6833.0,57.4
2025,40-44,11491.0,7395.0,64.35
2025,<25,5827.0,1409.0,24.18
