column,mean,median,variance,std_dev,skewness,count
ownership_rate_25_29_pct,36.028,35.24,10.788,3.284,0.248,26
ownership_rate_30_34_pct,50.704,49.235,15.244,3.904,0.371,26
ownership_rate_35_39_pct,60.67,59.505,16.41,4.051,0.193,26
ownership_rate_40_44_pct,66.897,66.0,12.253,3.5,0.077,26
ownership_rate_lt25_pct,23.341,22.935,1.661,1.289,0.538,26
median_weekly_earnings_20_24,520.519,469.25,14995.125,122.455,0.976,26
median_weekly_earnings_25_34,756.548,707.375,28062.645,167.519,0.979,26
mortgage_rate_30yr_pct,5.206,5.19,1.9,1.378,0.125,26
homeownership_rate_us_pct,66.306,66.025,2.934,1.713,-0.014,26
median_sales_price_usd,281677.885,255587.5,6601747016.346,81251.135,0.578,26
case_shiller_home_price_index,188.788,171.964,4106.722,64.084,1.05,26
cpi_all_urban,233.46,231.269,1772.667,42.103,0.563,26
housing_starts_thousands,1307.683,1348.833,174704.191,417.976,-0.174,26
annual_earnings_20_24,27067.0,24401.0,40546816.96,6367.638,0.976,26
annual_earnings_25_34,39340.5,36783.5,75881392.34,8710.993,0.979,26
annual_earnings_20_24_real2025,37058.346,36467.0,5387785.355,2321.16,0.458,26
annual_earnings_25_34_real2025,53962.654,53162.5,6560728.235,2561.392,0.831,26
national_zhvi,223511.846,202523.5,5343570841.815,73099.732,1.012,26
price_to_income_25_34,5.59,5.555,0.53,0.728,0.148,26
years_to_down_payment_25_34,7.446,7.4,0.933,0.966,0.169,26
monthly_payment_usd,987.077,860.5,147290.394,383.784,1.688,26
payment_to_income_pct_25_34,29.712,29.0,41.009,6.404,0.405,26
